day_of_year,time,site_num,parameter_code,poc,latitude,longitude,sample_measurement
5,00:00:00,0040,88101,3,39.297733,-76.604603,5.0
5,01:00:00,0040,88101,3,39.297733,-76.604603,4.0
5,02:00:00,0040,88101,3,39.297733,-76.604603,6.0
5,03:00:00,0040,88101,3,39.297733,-76.604603,9.0
5,04:00:00,0040,88101,3,39.297733,-76.604603,7.0
5,05:00:00,0040,88101,3,39.297733,-76.604603,5.0
5,06:00:00,0040,88101,3,39.297733,-76.604603,6.0
5,07:00:00,0040,88101,3,39.297733,-76.604603,5.0
5,08:00:00,0040,88101,3,39.297733,-76.604603,4.0
5,09:00:00,0040,88101,3,39.297733,-76.604603,5.0
5,10:00:00,0040,88101,3,39.297733,-76.604603,6.0
5,11:00:00,0040,88101,3,39.297733,-76.604603,7.0
5,12:00:00,0040,88101,3,39.297733,-76.604603,7.0
5,13:00:00,0040,88101,3,39.297733,-76.604603,8.0
5,14:00:00,0040,88101,3,39.297733,-76.604603,8.0
5,15:00:00,0040,88101,3,39.297733,-76.604603,8.0
5,16:00:00,0040,88101,3,39.297733,-76.604603,6.0
5,17:00:00,0040,88101,3,39.297733,-76.604603,9.0
5,18:00:00,0040,88101,3,39.297733,-76.604603,6.0
5,19:00:00,0040,88101,3,39.297733,-76.604603,3.0
5,20:00:00,0040,88101,3,39.297733,-76.604603,2.0
5,21:00:00,0040,88101,3,39.297733,-76.604603,4.0
5,22:00:00,0040,88101,3,39.297733,-76.604603,8.0
5,23:00:00,0040,88101,3,39.297733,-76.604603,5.0
6,00:00:00,0040,88101,3,39.297733,-76.604603,3.0
6,01:00:00,0040,88101,3,39.297733,-76.604603,7.0
6,02:00:00,0040,88101,3,39.297733,-76.604603,8.0
6,03:00:00,0040,88101,3,39.297733,-76.604603,6.0
6,04:00:00,0040,88101,3,39.297733,-76.604603,6.0
6,05:00:00,0040,88101,3,39.297733,-76.604603,5.0
6,06:00:00,0040,88101,3,39.297733,-76.604603,9.0
6,07:00:00,0040,88101,3,39.297733,-76.604603,7.0
6,08:00:00,0040,88101,3,39.297733,-76.604603,5.0
6,09:00:00,0040,88101,3,39.297733,-76.604603,6.0
6,10:00:00,0040,88101,3,39.297733,-76.604603,9.0
6,11:00:00,0040,88101,3,39.297733,-76.604603,8.0
6,12:00:00,0040,88101,3,39.297733,-76.604603,6.0
6,13:00:00,0040,88101,3,39.297733,-76.604603,8.0
6,14:00:00,0040,88101,3,39.297733,-76.604603,9.0
6,15:00:00,0040,88101,3,39.297733,-76.604603,19.0
6,16:00:00,0040,88101,3,39.297733,-76.604603,18.0
6,17:00:00,0040,88101,3,39.297733,-76.604603,10.0
6,18:00:00,0040,88101,3,39.297733,-76.604603,38.0
6,19:00:00,0040,88101,3,39.297733,-76.604603,21.0
6,20:00:00,0040,88101,3,39.297733,-76.604603,14.0
6,21:00:00,0040,88101,3,39.297733,-76.604603,11.0
6,22:00:00,0040,88101,3,39.297733,-76.604603,10.0
7,00:00:00,0040,88101,3,39.297733,-76.604603,14.0
7,01:00:00,0040,88101,3,39.297733,-76.604603,11.0
7,02:00:00,0040,88101,3,39.297733,-76.604603,16.0
7,03:00:00,0040,88101,3,39.297733,-76.604603,15.0
7,04:00:00,0040,88101,3,39.297733,-76.604603,14.0
7,05:00:00,0040,88101,3,39.297733,-76.604603,13.0
7,06:00:00,0040,88101,3,39.297733,-76.604603,14.0
7,07:00:00,0040,88101,3,39.297733,-76.604603,9.0
7,08:00:00,0040,88101,3,39.297733,-76.604603,10.0
7,09:00:00,0040,88101,3,39.297733,-76.604603,11.0
7,10:00:00,0040,88101,3,39.297733,-76.604603,11.0
7,11:00:00,0040,88101,3,39.297733,-76.604603,11.0
7,12:00:00,0040,88101,3,39.297733,-76.604603,7.0
7,13:00:00,0040,88101,3,39.297733,-76.604603,8.0
7,14:00:00,0040,88101,3,39.297733,-76.604603,7.0
7,15:00:00,0040,88101,3,39.297733,-76.604603,10.0
7,16:00:00,0040,88101,3,39.297733,-76.604603,9.0
7,17:00:00,0040,88101,3,39.297733,-76.604603,7.0
7,18:00:00,0040,88101,3,39.297733,-76.604603,7.0
7,20:00:00,0040,88101,3,39.297733,-76.604603,4.0
7,21:00:00,0040,88101,3,39.297733,-76.604603,6.0
7,22:00:00,0040,88101,3,39.297733,-76.604603,7.0
7,23:00:00,0040,88101,3,39.297733,-76.604603,6.0
8,00:00:00,0040,88101,3,39.297733,-76.604603,7.0
8,01:00:00,0040,88101,3,39.297733,-76.604603,5.0
8,02:00:00,0040,88101,3,39.297733,-76.604603,10.0
8,03:00:00,0040,88101,3,39.297733,-76.604603,6.0
8,04:00:00,0040,88101,3,39.297733,-76.604603,3.0
8,05:00:00,0040,88101,3,39.297733,-76.604603,3.0
8,06:00:00,0040,88101,3,39.297733,-76.604603,6.0
8,07:00:00,0040,88101,3,39.297733,-76.604603,5.0
8,08:00:00,0040,88101,3,39.297733,-76.604603,12.0
8,09:00:00,0040,88101,3,39.297733,-76.604603,6.0
8,10:00:00,0040,88101,3,39.297733,-76.604603,3.0
8,11:00:00,0040,88101,3,39.297733,-76.604603,7.0
8,12:00:00,0040,88101,3,39.297733,-76.604603,8.0
8,13:00:00,0040,88101,3,39.297733,-76.604603,6.0
8,14:00:00,0040,88101,3,39.297733,-76.604603,10.0
8,15:00:00,0040,88101,3,39.297733,-76.604603,9.0
8,16:00:00,0040,88101,3,39.297733,-76.604603,5.0
8,17:00:00,0040,88101,3,39.297733,-76.604603,5.0
8,18:00:00,0040,88101,3,39.297733,-76.604603,7.0
8,19:00:00,0040,88101,3,39.297733,-76.604603,10.0
8,20:00:00,0040,88101,3,39.297733,-76.604603,7.0
8,21:00:00,0040,88101,3,39.297733,-76.604603,5.0
8,22:00:00,0040,88101,3,39.297733,-76.604603,13.0
8,23:00:00,0040,88101,3,39.297733,-76.604603,8.0
9,00:00:00,0040,88101,3,39.297733,-76.604603,8.0
9,01:00:00,0040,88101,3,39.297733,-76.604603,11.0
9,02:00:00,0040,88101,3,39.297733,-76.604603,7.0
9,03:00:00,0040,88101,3,39.297733,-76.604603,7.0
9,04:00:00,0040,88101,3,39.297733,-76.604603,8.0
9,05:00:00,0040,88101,3,39.297733,-76.604603,6.0
9,06:00:00,0040,88101,3,39.297733,-76.604603,3.0
9,07:00:00,0040,88101,3,39.297733,-76.604603,4.0
9,08:00:00,0040,88101,3,39.297733,-76.604603,8.0
9,09:00:00,0040,88101,3,39.297733,-76.604603,8.0
9,10:00:00,0040,88101,3,39.297733,-76.604603,8.0
9,12:00:00,0040,88101,3,39.297733,-76.604603,10.0
9,13:00:00,0040,88101,3,39.297733,-76.604603,12.0
9,14:00:00,0040,88101,3,39.297733,-76.604603,12.0
9,15:00:00,0040,88101,3,39.297733,-76.604603,20.0
9,16:00:00,0040,88101,3,39.297733,-76.604603,5.0
9,17:00:00,0040,88101,3,39.297733,-76.604603,6.0
9,18:00:00,0040,88101,3,39.297733,-76.604603,6.0
9,19:00:00,0040,88101,3,39.297733,-76.604603,7.0
9,20:00:00,0040,88101,3,39.297733,-76.604603,7.0
9,21:00:00,0040,88101,3,39.297733,-76.604603,8.0
9,22:00:00,0040,88101,3,39.297733,-76.604603,8.0
9,23:00:00,0040,88101,3,39.297733,-76.604603,9.0
10,00:00:00,0040,88101,3,39.297733,-76.604603,9.0
10,01:00:00,0040,88101,3,39.297733,-76.604603,10.0
10,02:00:00,0040,88101,3,39.297733,-76.604603,7.0
10,03:00:00,0040,88101,3,39.297733,-76.604603,9.0
10,04:00:00,0040,88101,3,39.297733,-76.604603,6.0
10,05:00:00,0040,88101,3,39.297733,-76.604603,4.0
10,06:00:00,0040,88101,3,39.297733,-76.604603,5.0
10,07:00:00,0040,88101,3,39.297733,-76.604603,6.0
10,08:00:00,0040,88101,3,39.297733,-76.604603,4.0
10,09:00:00,0040,88101,3,39.297733,-76.604603,4.0
10,10:00:00,0040,88101,3,39.297733,-76.604603,6.0
10,11:00:00,0040,88101,3,39.297733,-76.604603,8.0
10,12:00:00,0040,88101,3,39.297733,-76.604603,8.0
10,13:00:00,0040,88101,3,39.297733,-76.604603,6.0
10,14:00:00,0040,88101,3,39.297733,-76.604603,8.0
10,15:00:00,0040,88101,3,39.297733,-76.604603,6.0
10,16:00:00,0040,88101,3,39.297733,-76.604603,4.0
10,17:00:00,0040,88101,3,39.297733,-76.604603,4.0
10,18:00:00,0040,88101,3,39.297733,-76.604603,4.0
10,19:00:00,0040,88101,3,39.297733,-76.604603,6.0
10,20:00:00,0040,88101,3,39.297733,-76.604603,7.0
10,21:00:00,0040,88101,3,39.297733,-76.604603,5.0
10,22:00:00,0040,88101,3,39.297733,-76.604603,8.0
10,23:00:00,0040,88101,3,39.297733,-76.604603,10.0
11,00:00:00,0040,88101,3,39.297733,-76.604603,9.0
11,01:00:00,0040,88101,3,39.297733,-76.604603,14.0
11,02:00:00,0040,88101,3,39.297733,-76.604603,16.0
11,03:00:00,0040,88101,3,39.297733,-76.604603,23.0
11,04:00:00,0040,88101,3,39.297733,-76.604603,41.0
11,05:00:00,0040,88101,3,39.297733,-76.604603,46.0
11,06:00:00,0040,88101,3,39.297733,-76.604603,46.0
11,07:00:00,0040,88101,3,39.297733,-76.604603,41.0
11,08:00:00,0040,88101,3,39.297733,-76.604603,34.0
11,09:00:00,0040,88101,3,39.297733,-76.604603,32.0
11,10:00:00,0040,88101,3,39.297733,-76.604603,28.0
11,11:00:00,0040,88101,3,39.297733,-76.604603,28.0
11,12:00:00,0040,88101,3,39.297733,-76.604603,25.0
11,13:00:00,0040,88101,3,39.297733,-76.604603,26.0
11,14:00:00,0040,88101,3,39.297733,-76.604603,24.0
11,15:00:00,0040,88101,3,39.297733,-76.604603,29.0
11,16:00:00,0040,88101,3,39.297733,-76.604603,27.0
11,17:00:00,0040,88101,3,39.297733,-76.604603,18.0
11,18:00:00,0040,88101,3,39.297733,-76.604603,9.0
11,19:00:00,0040,88101,3,39.297733,-76.604603,10.0
11,20:00:00,0040,88101,3,39.297733,-76.604603,11.0
11,21:00:00,0040,88101,3,39.297733,-76.604603,11.0
11,22:00:00,0040,88101,3,39.297733,-76.604603,11.0
11,23:00:00,0040,88101,3,39.297733,-76.604603,12.0
12,00:00:00,0040,88101,3,39.297733,-76.604603,11.0
12,01:00:00,0040,88101,3,39.297733,-76.604603,14.0
12,02:00:00,0040,88101,3,39.297733,-76.604603,17.0
12,03:00:00,0040,88101,3,39.297733,-76.604603,10.0
12,04:00:00,0040,88101,3,39.297733,-76.604603,17.0
12,05:00:00,0040,88101,3,39.297733,-76.604603,15.0
12,06:00:00,0040,88101,3,39.297733,-76.604603,18.0
12,07:00:00,0040,88101,3,39.297733,-76.604603,14.0
12,08:00:00,0040,88101,3,39.297733,-76.604603,12.0
12,09:00:00,0040,88101,3,39.297733,-76.604603,12.0
12,10:00:00,0040,88101,3,39.297733,-76.604603,15.0
12,11:00:00,0040,88101,3,39.297733,-76.604603,22.0
12,12:00:00,0040,88101,3,39.297733,-76.604603,21.0
12,13:00:00,0040,88101,3,39.297733,-76.604603,22.0
12,14:00:00,0040,88101,3,39.297733,-76.604603,18.0
12,15:00:00,0040,88101,3,39.297733,-76.604603,20.0
12,16:00:00,0040,88101,3,39.297733,-76.604603,21.0
12,17:00:00,0040,88101,3,39.297733,-76.604603,20.0
12,18:00:00,0040,88101,3,39.297733,-76.604603,20.0
12,19:00:00,0040,88101,3,39.297733,-76.604603,16.0
12,20:00:00,0040,88101,3,39.297733,-76.604603,17.0
12,21:00:00,0040,88101,3,39.297733,-76.604603,15.0
12,22:00:00,0040,88101,3,39.297733,-76.604603,15.0
12,23:00:00,0040,88101,3,39.297733,-76.604603,16.0
13,00:00:00,0040,88101,3,39.297733,-76.604603,21.0
13,01:00:00,0040,88101,3,39.297733,-76.604603,17.0
13,02:00:00,0040,88101,3,39.297733,-76.604603,11.0
13,03:00:00,0040,88101,3,39.297733,-76.604603,12.0
13,04:00:00,0040,88101,3,39.297733,-76.604603,16.0
13,05:00:00,0040,88101,3,39.297733,-76.604603,17.0
13,06:00:00,0040,88101,3,39.297733,-76.604603,13.0
13,07:00:00,0040,88101,3,39.297733,-76.604603,12.0
13,08:00:00,0040,88101,3,39.297733,-76.604603,12.0
13,09:00:00,0040,88101,3,39.297733,-76.604603,13.0
13,10:00:00,0040,88101,3,39.297733,-76.604603,11.0
13,11:00:00,0040,88101,3,39.297733,-76.604603,11.0
13,12:00:00,0040,88101,3,39.297733,-76.604603,9.0
13,13:00:00,0040,88101,3,39.297733,-76.604603,9.0
13,14:00:00,0040,88101,3,39.297733,-76.604603,7.0
13,15:00:00,0040,88101,3,39.297733,-76.604603,6.0
13,16:00:00,0040,88101,3,39.297733,-76.604603,5.0
13,17:00:00,0040,88101,3,39.297733,-76.604603,4.0
13,18:00:00,0040,88101,3,39.297733,-76.604603,3.0
13,19:00:00,0040,88101,3,39.297733,-76.604603,3.0
13,20:00:00,0040,88101,3,39.297733,-76.604603,2.0
13,21:00:00,0040,88101,3,39.297733,-76.604603,4.0
13,22:00:00,0040,88101,3,39.297733,-76.604603,6.0
13,23:00:00,0040,88101,3,39.297733,-76.604603,6.0
14,00:00:00,0040,88101,3,39.297733,-76.604603,6.0
14,01:00:00,0040,88101,3,39.297733,-76.604603,5.0
14,02:00:00,0040,88101,3,39.297733,-76.604603,9.0
14,03:00:00,0040,88101,3,39.297733,-76.604603,10.0
14,04:00:00,0040,88101,3,39.297733,-76.604603,7.0
14,05:00:00,0040,88101,3,39.297733,-76.604603,7.0
14,06:00:00,0040,88101,3,39.297733,-76.604603,6.0
14,07:00:00,0040,88101,3,39.297733,-76.604603,6.0
14,08:00:00,0040,88101,3,39.297733,-76.604603,6.0
14,09:00:00,0040,88101,3,39.297733,-76.604603,11.0
14,10:00:00,0040,88101,3,39.297733,-76.604603,12.0
14,11:00:00,0040,88101,3,39.297733,-76.604603,12.0
14,12:00:00,0040,88101,3,39.297733,-76.604603,14.0
14,13:00:00,0040,88101,3,39.297733,-76.604603,12.0
14,14:00:00,0040,88101,3,39.297733,-76.604603,12.0
14,15:00:00,0040,88101,3,39.297733,-76.604603,12.0
14,16:00:00,0040,88101,3,39.297733,-76.604603,13.0
14,17:00:00,0040,88101,3,39.297733,-76.604603,10.0
14,18:00:00,0040,88101,3,39.297733,-76.604603,12.0
14,19:00:00,0040,88101,3,39.297733,-76.604603,13.0
14,20:00:00,0040,88101,3,39.297733,-76.604603,17.0
14,21:00:00,0040,88101,3,39.297733,-76.604603,16.0
14,22:00:00,0040,88101,3,39.297733,-76.604603,17.0
14,23:00:00,0040,88101,3,39.297733,-76.604603,22.0
15,00:00:00,0040,88101,3,39.297733,-76.604603,21.0
15,01:00:00,0040,88101,3,39.297733,-76.604603,23.0
15,02:00:00,0040,88101,3,39.297733,-76.604603,20.0
15,03:00:00,0040,88101,3,39.297733,-76.604603,26.0
15,04:00:00,0040,88101,3,39.297733,-76.604603,26.0
15,05:00:00,0040,88101,3,39.297733,-76.604603,25.0
15,06:00:00,0040,88101,3,39.297733,-76.604603,22.0
15,07:00:00,0040,88101,3,39.297733,-76.604603,23.0
15,08:00:00,0040,88101,3,39.297733,-76.604603,22.0
15,09:00:00,0040,88101,3,39.297733,-76.604603,23.0
15,10:00:00,0040,88101,3,39.297733,-76.604603,27.0
15,11:00:00,0040,88101,3,39.297733,-76.604603,31.0
15,12:00:00,0040,88101,3,39.297733,-76.604603,30.0
15,13:00:00,0040,88101,3,39.297733,-76.604603,30.0
15,14:00:00,0040,88101,3,39.297733,-76.604603,25.0
15,15:00:00,0040,88101,3,39.297733,-76.604603,20.0
15,16:00:00,0040,88101,3,39.297733,-76.604603,22.0
15,17:00:00,0040,88101,3,39.297733,-76.604603,17.0
15,18:00:00,0040,88101,3,39.297733,-76.604603,20.0
15,19:00:00,0040,88101,3,39.297733,-76.604603,16.0
15,20:00:00,0040,88101,3,39.297733,-76.604603,11.0
15,21:00:00,0040,88101,3,39.297733,-76.604603,11.0
15,22:00:00,0040,88101,3,39.297733,-76.604603,16.0
15,23:00:00,0040,88101,3,39.297733,-76.604603,15.0
16,00:00:00,0040,88101,3,39.297733,-76.604603,21.0
16,01:00:00,0040,88101,3,39.297733,-76.604603,21.0
16,02:00:00,0040,88101,3,39.297733,-76.604603,24.0
16,03:00:00,0040,88101,3,39.297733,-76.604603,20.0
16,04:00:00,0040,88101,3,39.297733,-76.604603,24.0
16,05:00:00,0040,88101,3,39.297733,-76.604603,20.0
16,06:00:00,0040,88101,3,39.297733,-76.604603,24.0
16,07:00:00,0040,88101,3,39.297733,-76.604603,18.0
16,08:00:00,0040,88101,3,39.297733,-76.604603,21.0
16,09:00:00,0040,88101,3,39.297733,-76.604603,12.0
16,10:00:00,0040,88101,3,39.297733,-76.604603,10.0
16,11:00:00,0040,88101,3,39.297733,-76.604603,12.0
16,12:00:00,0040,88101,3,39.297733,-76.604603,13.0
16,13:00:00,0040,88101,3,39.297733,-76.604603,15.0
16,14:00:00,0040,88101,3,39.297733,-76.604603,15.0
16,16:00:00,0040,88101,3,39.297733,-76.604603,21.0
16,17:00:00,0040,88101,3,39.297733,-76.604603,13.0
16,18:00:00,0040,88101,3,39.297733,-76.604603,14.0
16,19:00:00,0040,88101,3,39.297733,-76.604603,14.0
16,20:00:00,0040,88101,3,39.297733,-76.604603,13.0
16,21:00:00,0040,88101,3,39.297733,-76.604603,13.0
16,22:00:00,0040,88101,3,39.297733,-76.604603,19.0
16,23:00:00,0040,88101,3,39.297733,-76.604603,19.0
17,00:00:00,0040,88101,3,39.297733,-76.604603,15.0
17,01:00:00,0040,88101,3,39.297733,-76.604603,18.0
17,02:00:00,0040,88101,3,39.297733,-76.604603,12.0
17,03:00:00,0040,88101,3,39.297733,-76.604603,8.0
17,04:00:00,0040,88101,3,39.297733,-76.604603,7.0
17,05:00:00,0040,88101,3,39.297733,-76.604603,5.0
17,06:00:00,0040,88101,3,39.297733,-76.604603,8.0
17,07:00:00,0040,88101,3,39.297733,-76.604603,7.0
17,08:00:00,0040,88101,3,39.297733,-76.604603,3.0
17,09:00:00,0040,88101,3,39.297733,-76.604603,3.0
17,10:00:00,0040,88101,3,39.297733,-76.604603,5.0
17,11:00:00,0040,88101,3,39.297733,-76.604603,3.0
17,12:00:00,0040,88101,3,39.297733,-76.604603,2.0
17,13:00:00,0040,88101,3,39.297733,-76.604603,8.0
17,14:00:00,0040,88101,3,39.297733,-76.604603,10.0
17,15:00:00,0040,88101,3,39.297733,-76.604603,10.0
17,16:00:00,0040,88101,3,39.297733,-76.604603,17.0
17,17:00:00,0040,88101,3,39.297733,-76.604603,13.0
17,18:00:00,0040,88101,3,39.297733,-76.604603,9.0
17,19:00:00,0040,88101,3,39.297733,-76.604603,6.0
17,20:00:00,0040,88101,3,39.297733,-76.604603,6.0
17,21:00:00,0040,88101,3,39.297733,-76.604603,7.0
17,22:00:00,0040,88101,3,39.297733,-76.604603,15.0
17,23:00:00,0040,88101,3,39.297733,-76.604603,10.0
18,00:00:00,0040,88101,3,39.297733,-76.604603,12.0
18,01:00:00,0040,88101,3,39.297733,-76.604603,9.0
18,02:00:00,0040,88101,3,39.297733,-76.604603,11.0
18,03:00:00,0040,88101,3,39.297733,-76.604603,9.0
18,04:00:00,0040,88101,3,39.297733,-76.604603,9.0
18,05:00:00,0040,88101,3,39.297733,-76.604603,12.0
18,06:00:00,0040,88101,3,39.297733,-76.604603,11.0
18,07:00:00,0040,88101,3,39.297733,-76.604603,13.0
18,08:00:00,0040,88101,3,39.297733,-76.604603,12.0
18,09:00:00,0040,88101,3,39.297733,-76.604603,13.0
18,10:00:00,0040,88101,3,39.297733,-76.604603,14.0
18,11:00:00,0040,88101,3,39.297733,-76.604603,15.0
18,12:00:00,0040,88101,3,39.297733,-76.604603,15.0
18,13:00:00,0040,88101,3,39.297733,-76.604603,18.0
18,14:00:00,0040,88101,3,39.297733,-76.604603,21.0
18,15:00:00,0040,88101,3,39.297733,-76.604603,19.0
18,16:00:00,0040,88101,3,39.297733,-76.604603,15.0
18,17:00:00,0040,88101,3,39.297733,-76.604603,18.0
18,18:00:00,0040,88101,3,39.297733,-76.604603,13.0
18,19:00:00,0040,88101,3,39.297733,-76.604603,21.0
18,20:00:00,0040,88101,3,39.297733,-76.604603,18.0
18,21:00:00,0040,88101,3,39.297733,-76.604603,21.0
18,22:00:00,0040,88101,3,39.297733,-76.604603,20.0
18,23:00:00,0040,88101,3,39.297733,-76.604603,19.0
19,00:00:00,0040,88101,3,39.297733,-76.604603,26.0
19,01:00:00,0040,88101,3,39.297733,-76.604603,17.0
19,02:00:00,0040,88101,3,39.297733,-76.604603,13.0
19,03:00:00,0040,88101,3,39.297733,-76.604603,11.0
19,04:00:00,0040,88101,3,39.297733,-76.604603,9.0
19,05:00:00,0040,88101,3,39.297733,-76.604603,12.0
19,06:00:00,0040,88101,3,39.297733,-76.604603,8.0
19,07:00:00,0040,88101,3,39.297733,-76.604603,5.0
19,08:00:00,0040,88101,3,39.297733,-76.604603,5.0
19,09:00:00,0040,88101,3,39.297733,-76.604603,8.0
19,10:00:00,0040,88101,3,39.297733,-76.604603,10.0
19,11:00:00,0040,88101,3,39.297733,-76.604603,10.0
19,12:00:00,0040,88101,3,39.297733,-76.604603,9.0
19,13:00:00,0040,88101,3,39.297733,-76.604603,6.0
19,14:00:00,0040,88101,3,39.297733,-76.604603,5.0
19,15:00:00,0040,88101,3,39.297733,-76.604603,4.0
